languageName, Deutsch
play, Spielen
levelEditor, Level Bearbeiter 
settings, Einstellungen
quit, Beenden
campaign, Kampagne
customlevels, Eigene Level
menu, Menü
controls, Steuerung
graphics, Grafik
resolution, Auflösung
fullcreen, Vollbild
apply, Anwenden
cancel, Abbrechen
open, Öffnen
close, Schließen
language, Sprache
movable, Beweglich
rotatable, Drehbar
link, Verbinden
unlink, Lösen
colors, Farben
delete, Löschen
save, Speichern
load, Laden
yes, Ja
no, Nein 
override, Überschreiben
position, Position
rotation, Rotation
size, Größe
cameraLeft, Kamera Links
cameraRight, Kamera Rechts
cameraUp, Kamera Hoch
cameraDown, Kamera Runter
camera, Kamera
limitMovement, Bewegung Limitieren
copy, Objekt Kopieren
reset, Level Zurücksetzen
won, Du Hast Gewonnen!
strength, Stärke